id,q_content
c109,"I assume that a party either has already happened, is about to happen, or is currently happening; are either of these people the guest of honor?"
c110,Is one of these people unhappy with the other for any particular reason?
c111,What is she doing
c112,why is she doing it
c113,What kind of car
c114,how fast
c117,Where is this
c118,what time of day
c119,What bus line 
c120,Where is it going
c123,Where is this located
c124,"What kind of music
"
c127,What are the horses doing here?
c128,What is the person reading in the back?
c133,Which of these kids is having more fun?
c134,What do you think they will do after the activities in the picture?
c135,When does the average child learn how to ski?
c136,What state has the most snow?
c137,Who is the lady in black talking to?
c138,Are the two people in this photo in a house that belongs to either of them?
c139,What type of dog? 
c140,Where did you get your sweater from?
c141,Why are those cows in the road?
c142,Why does no one seemed bothered by cows in the road?
c145,What game are they playing?
c146,Are they in a dorm room?
c147,How old is this horse?
c148,Was this photo taken in Mexico?
c149,How was frisbee golf invented?
c150,What is one of the average American family's favorite pasttimes?
c151,Where is he going?
c152,Where is his jacket?
c153,What country is this in?
c154,Are these guys selling something?
c155,What holiday or celebration is going on here to have this many people together in one room?
c156,Are all of the people in the picture related?
c157,What is he looking at?
c158,Is he a chef?
c159,Are the planes still in operation?
c160,Why are the planes sitting on grass?
c161,IS she good at soccer?
c162,What country is she from?
c163,What brand of watch is the most well-known?
c164,Where is racing horses still legal?
c165,How close do you think this soccer game is?
c166,What do you think each player is feeling?
c167,Is that Costco?
c168,Who took this picture?
c171,How much does a frisbee weigh?
c172,What kind of shoes are best for playing frisbee?
c173,What game are they playing outside?
c174,What color is his hat?
c175,What are they laughing at?
c176,Whose home are they in?
c177,Is this in the US?
c178,Is this a movie set?
c179,Where are they going?
c180,Are they going the speed limit or are they breaking it?
c181,What kind of car is this person in?
c182,What is the relationship of these two people?
c183,Why are they in banana suits?
c184,Is it someone's birthday?
c185,Is the man a tourist or an instructor?
c186,Where is this giraffe located?
c187,Are the kids finished with school for the day?
c188,What is the name of the school?
c189,Why is there a strap on the Wii remote?
c190,What is the most popular household game console?
c191,What breed of dog is that?
c192,Is he waiting to get into the restaurant or leave? 
c193,What kind of board is this?
c194,Is this a stock image?
c195,What is she doing to him?
c196,How old are the kids?
c197,Do you think her serve will be in-bounds?
c198,Do you have a favorite professional tennis player?
c199,How was that kite made?
c200,Do you think this man is on vacation or just having fun locally?
c201,Where do you think this is taking place?
c202,What do you think he is talking about?
c203,Are they related to each other?
c204,Do they have similar names?
c205,Who's house is this person in?
c206,What is this person holding?
c207,Why is the lady in a wheelchair?
c208,Is the man on the left the lady's husband?
c209,Is this from a movie/tv show shooting?
c210,What part of the world is this in?
c211,Why do the two in the middle look so bored?
c212,Is this a tennis practice for boys of all ages?
c213,What do you think her skill level is?
c214,Do you think she owns the board?
c219,Who do you think is taking this picture?
c220,What kind of day do you think it is in this picture?
c221,Does this baby eat solid food?
c222,Can this baby see different colors in the meal?
c223,Are people waiting to cross the street or protesting?
c224,What major city is this located in?
c227,Whos bathroom is this?
c228,Is it clean?
c229,Is this in an apartment or house?
c230,Has the owner of this chair had it long
c231,What school do these two go to?
c232,How old is this boy?
c233,What is one potentially risky skill you wish you had?
c234,Have you ever been to a skate park?
c235,Are they in Mexico?
c236,Is she upset about something?
c245,What country is this in?
c246,What is the purpose of the US Military being here?
c247,What are these people working on?
c248,What type of beverages do these women enjoy?
c249,Why has this obstacle not been removed from the road?
c250,What is the climate like in this picture?
c251,Are the dish duties shared in this household?
c252,What year is this photo from?
c253,How is the woman facing the camera feeling right now?
c254,What do you think they are cleaning up after?
c255,Do you remember the last time you saw a flip phone?
c256,What is your biggest pet peeve when you're on the phone?
c259,is this for business or personal use
c260,how old is this image
c263,Are they celebrating something?
c264,What type of wine are they drinking?
c267,Do you have similar memories as this picture evokes?
c268,Do you think this is a good activity for the two to be doing together?
c269,Does soccer seem to be just for kids?
c270,Do the people watching stay interested in the game?
c271,Where are these people traveling?
c272,Is the lady with the red bag having a good day?
c273,What device is in the mans hands?
c274,How long ago was this picture taken?
c277,What do you think is the purpose of this picture?
c278,Where is this person going?
c279,Who are their favorite characters in mario kart?
c280,Is this the only game they own?
c281,"If you ever played Wii, what was your favorite game?"
c282,Do you think the introduction of the Wii increased accessibility to exercise for Americans?
c289,Which color of uniform belongs to what soccer team?
c290,Which soccer team is currently winning the game?
c291,How often do you go on hikes?
c292,Is nature better with others around to experience it with you?
c301,Does the lighthouse still work or is it just for looks
c302,Would the people in the boat want to tour the land
c305,Why do you think there are so many pictures of flowers?
c306,What do you think the intent of the photographer is?
c307,What is your favorite sport to play casually?
c308,Do you think this backhand return will be in bounds?
c319,What does the metadata in the top right corner tell us?
c320,Where do you think this train is going?
c321,Are these elephants happy in their location?
c322,What sort of things would elephants do for fun?
c323,Is he off to school
c324,what is life like for boys in a mountain village
c329,Where are these sheep being raised?
c330,Will these sheep need to have their pelts sheared soon?
c333,Is the lady trying to steal food?
c334,Why is the lady not have ant food in front of her?
c335,Are the two people interacting with each other?
c336,Do you think the two people are going to the same spot?
c337,What do you think is happening in this moment?
c338,Why do you think this picture is black and white?
c339,Do people want kids to grow up in service industries
c340,Does this child want to dress like this for halloween
c343,Do you think that this man made the pizza or ordered it?
c344,What sort of people would this man be friends with?
c345,Do you think the team on base is winning?
c346,Are the players hoping to be baseball players as they get older?
c351,What team are these people?
c352,Where are they?
c357,Does this lady seemed stressed?
c358,Who is she texting on her phone?
c359,What kind of drink is that?
c360,Where are you?
c365,Does kite flying make people happy
c366,How many men or boys compete vs girls or women
c367,Who is this?
c368,When was this taken?
c369,Is this man a competitive skateboarder?
c370,What does this guy have going on in his personal life?
c371,Can you remember the last baseball game you went to?
c372,Is baseball still the American past time?
c375,What's the breakfast of this champion
c376,"Are Red, White, and Blue the most common uniform color"
c377,Where is this?
c378,Is that real?
c379,What does seem like in the stadium?
c380,Does the game look exciting?
c383,Is this elephant in the mud for keeping cool or having fun?
c384,If you were an elephant would you take a mud bath?
c385,What event would require the presence of the police?
c386,What will the weather be like during this event in the next hour?
c387,Are they celebrating something?
c388,Do they know each other?
c391,Does everyone look involved in the game?
c392,Are they having fun?
c393,Where do you imagine these people are going?
c394,Do you think the bus is part of a vacation the people are on or is this for work?
c395,"Did the man with the bat just hit the ball, or is he gearing up to hit it? "
c396,"If the man hasn’t hit the ball yet, will he successfully hit it? "
c399,Do dogs make good first mates
c400,What's the best color for a boat
c401,Is this guy having a bad day?
c402,What is the story of this man and dogs relationship?
c403,What kind of event is taking place?
c404,Why are there so many bikes?
c405,How much did the food cost?
c406,Did the customers receive a discount on their purchase?
c407,Do the people in this photo have any relation to each other?
c408,How many people are on the beach in total?
c409,Where are her shoes?
c410,What is in the tube on her back?
c411,What are the rules to this game?
c412,Do you think this person's family and friends came to see him?
c413,Which treat will the girl choose? 
c414,What superpowers does the girl have? 
c415,What city are they touring?
c416,Where are they from?
c419,Is this child going through a tough time?
c420,Is this boy passionate about skateboarding?
c421,What is the best kitchen setup
c422,How fast can you make tacos
c423,Do you think that the rope is actually stopping people from using this toilet?
c424,Are outhouses a relic of the past or should they be brought back in some way?
c425,is he looking at the ball or the ground?
c426,what is he thinking about?
c427,What is on the little screen? 
c428,This photo looks dated; what era was it taken in? 
c431,Who will spin the frisbee for a longer time?
c432,Which girl is camera man more focused on?
c433,What country did this take place in?
c434,Is this player currently a student
c435,I wonder how old he is?
c436,Where were you at in this picture?
c437,Is this man nervous about something?
c438,Does this man have a family?
c439,is someone else taking her photo or is it a selfie cam?
c440,is she drunk or does the flash just hurt her eyes?
c441,Are you just stuck there if you need to leave during the posted time?
c442,Wasn't this location in one of the Borne Identity movies?
c443,How do you feel about wild animals being domesticated?
c444,Are humans the biggest threat to other species?
c445,Is this in a house or in an apartment?
c446,How often does the cat watch the TV?
c447,Where are the jets going?
c448,Do you think they are being chased?
c449,Does this girl look sober or intoxicated?
c450,What drink is the girl drinking?
c453,Who would win the surfing contest?
c454,Which surfing board is the most expensive?
c455,Hey man who's got her smilin' like that?
c456,That's a nice outfit she's got on right?
c457,What competition is this?
c458,What is the score of the match?
c459,Is this considered a good run or a bad one?
c460,Why is the sea a brownish color instead of the blue we usually see in surfer pictures?
c461,where is this mountain range?
c462,is this person trying to get to the top?
c463,What do you think prompted the bride to choose a Grecian-inspired dress?
c464,Why is the groom not cutting the cake with the bride?
c465,How much cage do you need for an elephant
c466,Do elephants need Covid shots
c467,Was this photo ever developed?
c468,Are the people in this photo professional photographers?
c471,Was this photo taken at a party? 
c472,Is the girl having a good time? 
c473,Do you think the dog wears clothes every day?
c474,I wonder if the other pets get jealous.
c477,"Surfing, beach past time or beach hazard?"
c478,Do you have any fond beach memories?
c479,Giraffe's just never get old huh?
c480,Never fail to make you smile right pal?
c483,Does this man have children?
c484,What country is this garden in?
c485,What country is this image from? 
c486,Where is the police officer going? 
c487,Do you think this is her first time skiing?
c488,I wonder what mountain that is?
c491,Do you consider yourself a risk taker?
c492,Do you think leisure sports where bodily harm might occur should be avoided?
c493,Is person arriving or departing? 
c494,Is the family traveling for work or vacation? 
c495,I wonder what the biggest accomplishment in that room is?
c496,What service do these men work for?
c497,"How many towels are used daily, on an average, in this bathroom?"
c498,When was the last time this bathroom was thoroughly cleaned?
c499,Where are they taking the logs?
c500,Why is there a man walking alongside the truck?
c501,How long do you think this couple has been married?
c502,Are they also interested in baseball?
c503,Where is he snowboarding?
c504,Did anyone go on the snowboarding trip with him?
c505,What country do you think they are in?
c506,"Is that a male or female elephant?
"
c507,Why was this photo taken? 
c508,Is the banana ripe? 
c509,where is he going?
c510,does he know any tricks?
c515,how are the guys skis fitting
c516,who will go first
c517,Who is winning this game?
c518,What kind of relationship do these players have?
c519,Where did you order from?
c520,"It is very colorful there, what city are you in?"
c521,What is the girl in the middle looking at on her phone?
c522,Do the people reading enjoy their books?
c523,How long did it take to create this garden?
c524,Are you hiding the other sock because it is a different color?
c525,How many bananas do you suppose are in the truck?
c526,How many bananas can a monkey eat a day?
c527,where are these people walking to?
c528,do the orange flower necklaces mean something?
c531,What type of recycling truck is this? 
c532,What city is the truck in? 
c533,Is he winning the race?
c534,Did he land this jump?
c537,Do you consider the treatment of children in society unfair?
c538,As a child did you ever experience hardship?
c539,Where is this ski resort?
c540,What level run is this?
c541,Do you think these animals are friendly?
c542,How old do you think the elephant is?
c545,I wonder what the occasion is for the picture?
c546,Do you think it is his birthday?
c547,Did any of your relatives come west in wagon trains?
c548,Wasn't Oregon Trail the funnest game?
c549,Why is the individual researching these images?
c550,What is the individual supposed to be doing while they are looking at these images?
c551,What is the function of the tent? 
c552,Is this covering up the bike lane? 
c553,what is the horses name
c554,what city is this event in
c555,I wonder what the weather was later that day?
c556,What are those birds foraging for?
c557,Do they like their food?
c558,"What does ""Park"" on his shirt mean?"
c559,Which player will kick the ball first?
c560,Who do you think will win?
c561,How many people here are fans of this particular player?
c562,Do you think this was broadcasted on TV?
c565,Are zebras black with white stripes or white with black stripes?
c566,What do you think the pair of zebras on the left are looking at?
c567,Do the two women know the man? 
c568,Where is the train going? 
c569,"“Wait, where did you say the mat was?”"
c570,When did littering become so casual?
c571,Is she sad?
c572,Why did she decorate her room like that?
c575,Why does the box have arrows in it?
c576,Is this art?
c577,What do you think they are playing? 
c578,Which one is winning?
c579,Where is she taking the milk?
c580,What made her decide on those cabinets?
c581,Is the cat used to his owner sitting next to it like that?
c582,What is the cat's favorite food to eat?
c583,Where is this store located?
c584,What month was this picture taken?
c585,Would this guy give a beggar some food?
c586,In what culture is this taking place?
c587,Are the horse and the rider going somewhere special?
c588,Does the horse have a strong emotional bond with their rider?
c591,whats the story with the wooden doll in bathtub
c592,the guy   is he fixing something
c593,how long has the fruit stand been operating?
c594,is this in a dense area?
c595,why do you have an umbrella
c596,where are you going
c597,Would you live here?
c598,What is your idea of paradise?
c601,How tasty is that cake?
c602,Is this a birthday celebration?
c603,Are they training for a sporting event?
c604,How long do they have to practice for?
c605,How do trucks differ from cars?
c606,Are food trucks lucrative?
c609,Does the catcher already have a ball in his glove or not just yet?
c610,What would be the ball count after this pitch?
c611,How often does the woman take photos on her cell phone?
c612,How many people are in the room she is standing in?
c613,What is the cats name?
c614,What kind of cat do you have?
c615,Are these professional kite flyers?
c616,What is the meaning of the kite figures?
c617,"Do you think, as Ferris Bueller once said, that life moves fast? "
c618,Have you found umbrellas to be as useless as I have?
c619,Is this animal well trained?
c620,Is the person its owner or just a bystander?
c621,What body of water do you think this is.
c622,Would you want your own boat.
c623,what team is this
c624,"which team is your favorite
"
c625,what are the officials being stationed for?
c626,who is the woman on the horse?
c627,Why is the man behind her not wearing a jacket?
c628,Do you enjoy to ski?
c629,Are these birds happy to be here?
c630,How many more birds are near the ones in this photo?
c631,Are these woman friends?
c632,Do they knw the owner of this truck?
c633,Where are these people at?
c634,How expensive is the bike?
c635,how does it smell
c636,do you make this often
c637,Why does that person look so happy?
c638,Is this person out eating with someone?
c639,Do you think this person is trying something new?
c640,What type of food generally uses the ingredients shown in this photo?
c641,How many people are in the picture?
c642,What colors are the truck?
c643,what if it rains will this umbrella keep you dry
c644,is she a juggler
c645,Does this woman like cats?
c646,Do you think the cat might be comfortable being held?
c647,Is the woman a student?
c648,Does the woman have a sister?
c649,Do you think this was taken in a foreign country?
c650,Who are all of those busts modeled after?
c651,is the man close with the elephant?
c652,are there more elephants in this area?
c653,What is this woman discussing on the phone?
c654,What does the graffiti mean?
c655,How long was the surfboard in the water for?
c656,Did the surfboard fly out from the water and get stuck in the sand or was it placed there?
c657,What event is this person going to?
c658,Why did they decide on wearing this tie?
c659,What is the profession of the person?
c660,What color is the sauce being used?
c661,When did you last think about the circle of life?
c662,When did you last go to the zoo?
c663,What is the man making?
c664,Do you think he enjoys his jon.
c665,Why is the woman feeding the horse?
c666,Where does this picture take place?
c667,Do you consider pre packaged foods harmful or beneficial?
c668,Did your parent/guardian provide snacks in between meals?
c669,Are the two on the bike friends or family?
c670,How many different fruit are in this picture?
c671,What kind of sandwiches are being grilled?
c672,Is the person in motion moving forward or moving backwards when photo was taken? 
c673,Who do these athletes play for?
c674,What kind of experience do these athletes have?
c675,what are the men in the back discussing?
c676,where are the men on the scooter headed?
c677,Does the Elephant eat other foods?
c678,Does the human work with other animals?
c679,where are they going
c680,do they know eachother
c681,How many crocodiles are in that water?
c682,Can the boat be used a mobile home?
c685,why does the girl on the horse seem distressed?
c686,what kind of event is this?
c687,will he hit the ball for a homerun
c688,are these kids going to nap after family golf day
c689,Do you think the horse is being treated fairly?
c690,What do you think the lady is doing to the horse?
c691,Why are they playing games?
c692,What do they do for work?
c693,Is this Wimbleton?
c694,What is the name of this serving form?
c695,Who does the bear belong to?
c696,What is the plank of wood used for?
c697,Are there Amish folks in the region?
c698,Is this England?
c699,What hand motion is the person making?
c700,Why do the colors of the car and bike match?
c701,Who made the graffiti
c702,Why is the woman on the phone
c703,Is the older man learning about computers?
c704,How old is this photo?
c705,When was this phone manufactured?
c706,What color are her eyes?
c707,What is the player's favorite outfit to wear to dinner?
c708,Are his dance moves any good?
c709,How big is that plane in the front?
c710,"Have you ever flown a plane?
"
c711,Are any of the riders a father?
c712,Do any of the riders own a horse?
c713,Does kite flying fare better depending on location?
c714,How much do kites cost?
c715,Would you ride a bike in this busy traffic?
c716,How many people do you suppose are on the bus?
c717,What kind of person would use this umbrella?
c718,Do people still use umbrellas very often?
c719,Is the baseball player on the winning or losing team?
c720,Who is here watching the baseball player?
c721,what type of bird is that
c722,how did the photographer get this shot
c723,How did the baby get on the counter
c724,What is the kid's name.
c725,Where did they enjoy their vacation?
c726,How do they feel about loading their luggage up?
c727,I wonder what town these people are in?
c728,I wonder what the population of this town is?
c729,What emotions do this image give you?
c730,What do you think is in that tower?
c731,What is the man on the left thinking?
c732,Is this a family gathering?
c733,How often does this person eat sweets?
c734,Does this person enjoy eating at restaurants?
c735,How old is the lady?
c736,What do all those keys go to?
c737,Who is this person meeting at the movies?
c738,What time of year is this?
c739,Is the lady in the picture a tourist?
c740,How common are horse crossing signs?
c743,do you think they enjoy photography?
c744,whats on the their shirt? 
c745,Does the park offer Snowboarding too?
c746,Do you think that that you'd want to go to this park?
c747,How does this woman feel about her food?
c748,What type of food and culture do you think this picture represents?
c749,What game are they playing?
c750,Who is winning the game?
c751,Do any of the parents have a disease?
c752,Do any of the children have a great-grandparent?
c753,What kind of music is being made?
c754,What is the musician's day job?
c755,Is Italian a popular type of cuisine?
c756,Why do people photograph food?
c757,How do these two know each other?
c758,Why does this person need a ride?
c759,Where is everyone likely heading in this picture?
c760,Why are many individuals riding horses?
c761,Are you afraid of flying?
c762,Do you know how planes work?
c763,What flavor is the cake
c764,How many people came to the party
c765,Which person pictured is more stubborn? 
c766,What is the relationship between the people pictured?
c767,Who lives here?
c768,What is he thinking about?
c769,Why leave perfect things on the side of the road like trash?
c770,What is that building in the background used for?
c771,How did they get the elephant to sit on the chair?
c772,Who is the person in the background?
c773,How many birthdays has she celebrated?
c774,Will I end up in a retiring home?
c775,does this child hope to become an olympic games skater?
c776,does this child prefer skateboarding over rollerskating?
c777,How long did this trick take to learn?
c778,How many times a year does this person go snowboarding?
c779,What is the child in the back upset about?
c780,What kind of treats are on the plate?
c781,Do any of the men have a horse?
c782,Do any of the men have a great-grandparent?
c783,What type of ship is displayed?
c784,What is the purpose of the ship displayed?
c785,Was it raining earlier?
c786,Whats in the boxes?
c787,do you think they are all best friends?
c788,what kind of wine are they drinking?
c791,"When it rains, should you wear rainboots?"
c792,How much would an umbrella cost?
c793,What are they doing construction for?
c794,How long is the road?
c795,I wonder where this train is going to go
c796,I wonder if there is a killer on this train
c797,What country do you think this photo was taken in?
c798,Do you think the person pictured may follow a certain religion?
c799,I wonder if this is a scene from a play?
c800,I wonder if these two people are married?
c801,Do you think these people are about to show some kind of science exhibit or attending a local 4H club?
c802,Do you think this cow is happy to be where it is?
c803,Which of these children is older?
c804,At what age did they start eating brocolli?
c805,Which of the four people makes the most money?
c806,Are these people all friends? 
c807,What desserts have the best mouth feel?
c808,Do you prefer doughnuts with or without fillings?
c811,Is that a party boat?
c812,Where is this picture taken?
c813,were these the last contents found on a mysterious body that was found?
c814,does this person enjoy solving puzzles and playing games?
c815,How is that surf board standing on its own?
c816,Do you think there are any other surfers on this beach?
c817,What's the most popular flavor of cake?
c818,Are weddings better with cake or dessert bars?
c819,Why do the women have umbrellas when it doesn't appear to be raining?
c820,Why does the one woman have the umbrella pushed down so low on her head?
c821,do you think she is gonna enjoy that book?
c822,what time of season is it?
c823,Where is this skate park?
c824,What does this guy have on his face?
c825,Do posters help morale in an office setting?
c826,How comfortable are suits?
c827,Why hang out right next to the railroad tracks?
c828,Are these railroad cars abandoned?
c829,How much snow falls here daily?
c830,How long have you been skiing?
c831,Is this a regular day at the beach or an organized event?
c832,How long have these people been riding their bikes around on this day?
c833,What are they doing in this picture?
c834,Is this a work horse or a pet? 
c835,Why is this guy smiling?
c836,What percentage of bananas does he have to throw out each day?
c837,is the guy on the bike going to play a racquet game somewhere?
c838,does the biker realize he should be wearing a helmet? 
c839,Where is she headed?
c840,What country is this photo taken?
c841,What is this building used for? 
c842,"Are they painting this building, or is it fading the color? "
c843,What kind of music does this cat enjoy?
c844,"Does this cat prefer live television, or animation?"
c845,Is this a kitchen in a private house or a business?
c846,I wonder if the flowers are real or artificial?
c847,Did this little girl choose this activity herself?
c848,What country do you believe this is?
c849,Which one is his girlfriend?
c850,What year was this photo taken?
c851,Where is the rest of the herd?
c852,Is the small one mischievous?
c853,What city is this photo located in?
c854,How skilled is this man? 
c855,Do you think it's possible that the girl's sun visor is not working?
c856,Do you think these girls are friends outside of this sport?
c857,I wonder why the man in the yellow suit is spying for the Russian mafia
c858,Why did the guy on the skateboard hit is girlfriend today for no reason
c859,do you think they are professional models?
c860,do you think it started to rain soon after taking that picture?
c861,What is this ceremony or celebration for?
c862,Who are the gentleman cutting the cake?
c863,Where is this party located?
c864,What flavor is this cake? 
c865,does the dog hope the boy will keep throwing the frisbee all day long?
c866,is the boy concerned about any sharks lurking in the water?
c867,"Is this truly an old image, or does it have a filter over it?"
c868,Do you think he still practices?
c869,What state is he in? 
c870,Are they on a trail or exploring? 
c871,Is this a cross country race or just a slope?
c872,Is this a national team?
c873,I wonder if these giraffes are in a zoo?
c874,Are giraffes friendly to humans?
c875,What happened to this man in the last five minutes?
c876,Is this man hungry?
c877,is he a pro tennis player?
c878,do you think he won the match?
c879,What tournament is this?
c880,What kind of surface are they playing on?
c881,does the girl eating pizza wish she had a sandwich instead?
c882,is the armband from an event or did she just finish running a marathon?
c883,Why might someone carry an umbrella when it's not raining?
c884,Do you ever bundle up when it's not cold?
c885,Is there a lot of money to be made in dog frisbee?
c886,Who does this dog belong to?
c887,Does traffic have to yield to random farmers and their animals?
c888,How often do farmers bring their animals onto main roads?
c889,Did the guy using the computer go to the bathroom or not
c890,Does this guy know his wife is flirting with the salesman just a few dozen feet away
c891,I wonder if the batter will hit a home run?
c892,I wonder how old these players are?
c893,Do you think this is his first time surfing?
c894,What is this man's favorite sport besides surfing?
c895,Do you know how to say the word 'stop' in any other languages?
c896,Have you ever seen a stop sign that wasn't in the shape of an octagon?
c897,Why is the lady staring into the covered plastic?
c898,Do you think this was taken in the US or another country?
c899,Someone must've done something real weird to get her to look like that right?
c900,Someone woke up on the wrong side of the bed didn't they?
c901,What joke made the person in blue laugh?
c902,Where are these people from?
c903,How much do yachts typically cost?
c904,What do you think it would be like to live on a boat?
c905,Those men are on a mission huh?
c906,Up for a fun day aren't they?
c907,Do zebras have dreams?
c908,Where is the zebra running?
c909,What do you think is the best bedtime for kids under 5?
c910,Do you have any bedtime rituals?
c911,Do you think this baby has a good family?
c912,Do you think the baby likes that chair?
c913,What is this man's favorite kind of music?
c914,Does this man speak Spanish?
c915,"Are these gentleman celebrating something, or just a military ritual?"
c916,Do you think this is on a ship or a land base?
c917,Why are we celebrating with Malaysia?
c918,Could this be a military gathering or a civilian gathering?
c919,Does this person know they left the gas stove on at home
c920,Does the person riding the hose know that one out of three people who are in this image will die from cancer?
c921,Where is that camera that took this picture?
c922,Is this person going to make this jump?
c923,Why is the woman wearing a wedding dress but the man is not dressed for a wedding
c924,Why would anyone live in an area with so much air pollution?
c925,What do you think they were talking about? It looks like they were having a good chat!
c926,"This doesn't look the US, do you think the picture was taken in England, possibly?"
c927,Do you think the guy with the helmet on is a beginner or a professional?
c928,Do the cone structures look like a practice place or an actual professional race?
c929,What can be so urgent that those guys are in the street with that policeman?
c930,Why is that woman holding a slow sign?
c931,She's up for big things isn't she?
c932,Damn where'd she get her shoes from?
c933,"Which of these people sticks to a strict, vegetarian diet?"
c934,Where do you think the landscape painting on the wall came from?
c935,how fast do you think they are going
c936,where do you think they are
c937,Is he an avid snowboarder?
c938,Has he snowboarded for a long time?
c941,How much do you think she paid for the dress?
c942,What do you think she has in that trunk?
c947,How many hours a day does he work?
c948,Does he even like bananas?
c949,What is the temperature outside? 
c950,what are they looking at?
c951,Do you think they'll ever update that wallpaper?
c952,Where do you think this photo was taken?
c953,Did this result in a hit or an out?
c954,What age league is this?
c959,How many hours does he practice a week?
c960,Has he played tennis a long time?
c961,Do Elephants have a good memory?
c962,Are Elephants afraid of mice?
c963,What game are they playing?
c964,How big do you think their TV is?
c965,How much do you think those suitcases weigh?
c966,How many times has this guy dropped luggage?
c967,Are the elephants related?
c968,Do elephants make friendships with one another?
c969,Where is this located?
c970,Why is the baggage piled up like this?
c975,What is she watching?
c976,Does she know how to use the remote?
c979,How old do you think the train is
c980,Do you like the way the train looks
c981,How many followers on Twitter does this man have?
c982,What is his favorite app?
c985,Have you ever gone out to fly a kite?
c986,Do you think the long kite is difficult to fly?
c987,What is this event for?
c988,Are the people in the photo a couple?
c989,What is the horsemen thinking about?
c990,Where do you think he’s headed
c991,How did they meet?
c992,Who won the match? 
c997,What floor is this man on?
c998,Where is this person located?
c999,Are these two men related to each other?
c1000,Do they go to the same eye doctor?
c1001,What school were these people playing for?
c1002,How tall is the guy on the far right?
c1003,Is he teaching a class?
c1004,What is the purpose of the stuffed animal?
